date,sessions,activeUsers,screenPageViews,bounceRate,averageSessionDuration,eventCount,conversions
20260707,3,3,9,0.3333333333333333,33.017440666666666,22,0
20260708,1,1,1,1.0,5.962548,4,0
20260709,4,4,4,0.75,7.09920775,15,0
20260711,8,5,31,0.125,323.43946562499997,83,0
20260712,14,8,151,0.42857142857142855,1283.881772642857,293,0
20260713,4,4,10,0.25,58.552375000000005,34,0
20260714,8,4,12,0.375,183.87268125,35,0
20260715,9,7,16,0.6666666666666666,11.823024333333333,47,0
20260716,1,1,1,1.0,0.0,3,0
20260717,16,9,39,0.4375,173.0223575,112,0
20260718,23,12,65,0.5217391304347826,352.4374071304348,179,0
20260719,2,2,2,1.0,0.0,6,0
20260720,2,2,2,1.0,0.0,6,0
