landingPagePlusQueryString,sessions,activeUsers,screenPageViews,bounceRate,averageSessionDuration
/,47,29,132,0.425531914893617,179.383623
/fr,13,5,36,0.3076923076923077,372.45920653846156
(not set),4,3,0,1.0,0.0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe2ckq5QqzUJYDZtefjK6dFe0K5CMHvzFOOTFerPYfv2zOhVCJftDxRA5u7RY_aem_BWtCNWhSoDOY8Aabt08HgQ,2,1,2,0.5,20.0856
/adjusted-body-weight/,2,1,2,1.0,1.4591335
/anc-calculator/,2,2,3,1.0,3.1099415
/nutrition-must/,2,1,2,1.0,0.0
/pf-ratio/,2,2,4,0.5,67.5305155
/qsofa-score/,2,1,2,0.5,14.2037255
/wells-score,2,1,97,0.0,6249.548018
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe-VSLdjel5lKC8rWMRVTh7Yk32tz63nBgmKwlfICmtmenXoPv8IopTAyDMmM_aem_REu4Dbhvuqn7pFDwg_gIfw,1,1,1,1.0,0.0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe-VSLdjel5lKC8rWMRVTh7Yk32tz63nBgmKwlfICmtmenXoPv8IopTAyDMmM_aem_REu4Dbhvuqn7pFDwg_gIfw?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe-VSLdjel5lKC8rWMRVTh7Yk32tz63nBgmKwlfICmtmenXoPv8IopTAyDMmM_aem_REu4Dbhvuqn7pFDwg_gIfw,1,1,1,1.0,5.741417
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe1d5Qq4T9sNUQAohK83P9eUJTaWGMb8ShKCBEV3v0ggXu3nkx_Ais3QukxQ4_aem_LcVhGJYbIOmYGdGWZKvwAQ,1,1,1,1.0,5.962548
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe2OkLvPSjwJNRYvBmfkjyWLtCdQdUTmg7Y5LWc4x0B8BwLpm1nvyrg-CJvyw_aem_a_Xsg_CatkrtUEo4okchSw,1,1,2,0.0,40.222789
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEe87yNTxD0V_aSzcW0EO8Un0uongOywrSdqKtpuz9L1yJ0wEzc3AYZMp1NIMI_aem_h6SsjlH_4xkmLyzhe0DgqQ,1,1,1,1.0,0.0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeGNTYVg9ugrOUfMP-4zNL2-pxC42Cyd2a7bMSUVSEMdRCdU81IhG2FPbo8b4_aem_H56Gzl9HxXlh8Gftke7gzw,1,1,1,1.0,5.850507
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeYHFPra8IZWnxQFA9VNO8FsUxjmamXAfgy2MttWJnZIQ3yVQJE2rDkzMLbrQ_aem_T0Hv38xxQWFSXiDthyBccQ,1,1,2,0.0,43.154781
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEeYQxH_8nAic_MqbS0Nh0mLWBjfW_jBrJ1t_JOxcGVi1l3f0HWKrDUDMiaNME_aem_5tlLx86WnwLYWQljyttKpw,1,1,1,1.0,0.0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEepNcNG02kERJt8ILKY8p72JrkKuICJh44t4fYXamvMKktuDCZpJkvlDlNJVo_aem_XgwDiiqbcF_lfKGanPFrLA,1,1,1,1.0,5.581277
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEergSEmFh5SYpuOuNYFSNv8RRgHFk8_nEpVIdgAF2DQ8rdx98EAnkf0dVwEdE_aem_YdNVqYhzoCmlQMaCLmQk6A,1,1,1,1.0,0.0
/?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEergSEmFh5SYpuOuNYFSNv8RRgHFk8_nEpVIdgAF2DQ8rdx98EAnkf0dVwEdE_aem_YdNVqYhzoCmlQMaCLmQk6A?fbclid=IwZXh0bgNhZW0CMTEAc3J0YwZhcHBfaWQMMjU2MjgxMDQwNTU4AAEergSEmFh5SYpuOuNYFSNv8RRgHFk8_nEpVIdgAF2DQ8rdx98EAnkf0dVwEdE_aem_YdNVqYhzoCmlQMaCLmQk6A,1,1,1,1.0,5.193405
/about/,1,1,3,0.0,30.554108
/blog-articles/top-10-global-medical-blogs-in-2026-e-e-a-t-authority-and-editorial-best-practic/,1,1,1,1.0,0.0
/clinical-library,1,1,3,0.0,201.365715
/curb65-score/,1,1,2,0.0,27.17219
/fmp-medecine/bacteriologie-virologie-immunologie/,1,1,1,1.0,0.0
/fr/grace-score,1,1,29,0.0,5142.07356
/interview/,1,1,2,0.0,362.435003
/map-calculator/,1,1,4,0.0,156.914923
/sirs-criteria,1,1,5,0.0,1364.192439
