pagePath,sessions,activeUsers,screenPageViews,averageSessionDuration
/,167,75,329,244.75342011377245
/interview/,53,36,78,165.52378890566038
/pricing/,34,19,56,238.29328111764707
/interview,21,10,51,362.5597434761905
/quiz,32,18,47,70.7243901875
/flashcards/,29,24,39,67.38546682758621
/practice/,25,14,38,3035.66970656
/pricing,23,12,33,242.8346099130435
/flashcards,17,8,30,124.36517441176471
/quiz/,19,13,29,49.296159
/practice,11,5,22,13.31879990909091
/mastery/,13,8,18,114.89321292307692
/blog/2026-uscis-processing-times-citizenship-cases/,15,15,15,49.911702266666666
/timeline,11,5,15,73.62808863636364
/blog/failed-citizenship-test-second-chance-retest-2026/,12,12,12,9.567683166666667
/progress,7,5,10,33.68726
/timeline/,7,6,10,52.50134914285714
/mastery,3,2,7,7.087981
/audio/,5,5,6,8.7383032
/english/,5,5,6,156.1513492
/blog/citizenship-interview-questions-and-answers/,1,1,5,125.519175
/auth-callback,2,1,4,46.0660735
/success,2,2,4,136.9887925
/audio,2,2,3,6.8410525
/reviews/,2,2,3,524.076932
/n400-checklist.pdf,1,1,3,6.756252
/about/,2,2,2,78.145954
/blog,2,2,2,81.9697255
/citizenship-test-100-vs-128-questions/,2,2,2,6.0361115
/english,2,2,2,6.838813
/api/blog/unsubscribe,1,1,2,97.200619
/guides/,1,1,2,13.215737
/blog/citizenship-reading-writing-test/,1,1,1,4.938385
/blog/n400-part-12-vocabulary-cheat-sheet-simple-definitions/,1,1,1,166.223278
/blog/preparing-for-2026-citizenship-test/,1,1,1,4.666197
/blog/top-5-mistakes-english-writing-test-citizenship/,1,1,1,0.856857
/blog/uscis-new-signature-rule-2026-rejection-warning/,1,1,1,700.010387
/checklist/,1,1,1,8.35728
/citizenship-practice-test/,1,1,1,5.429362
/current-officials/illinois/,1,1,1,4.943226
/current-officials/vermont/,1,1,1,19.381153
/disclaimer/,1,1,1,10.194692
/examen-de-ciudadania-2026,1,1,1,76.29906
/guide/wa/,1,1,1,7.154248
/guide/washington/,1,1,1,7.188227
/profile/,1,1,1,2.440068
/progress/,1,1,1,16.036383
/state-guide/wa,1,1,1,12.418608
/state-guide/washington,1,1,1,9.99196
/state-guides/,1,1,1,6.179949
/state/,1,1,1,7.027613
/state/wa/,1,1,1,9.052555
/state/washington/,1,1,1,6.609
/states/,1,1,1,7.247894
/uscis-civics-test-128-questions/,1,1,1,2.729924
/wa/,1,1,1,7.27567
/what-happens-if-you-fail-citizenship-test/,1,1,1,0.0
